ID	log2fold	p	p.adj
ENSMUSG00000056692	2.19780272753632	2.85106033922412E-43	5.5615634037245E-39
ENSMUSG00000041836	-2.25390700191144	4.50573387187796E-34	4.39466753193617E-30
ENSMUSG00000035493	-4.40259967612491	9.77602514632063E-29	6.35669741764255E-25
ENSMUSG00000042842	2.69238734475325	1.45131359140932E-28	7.07769355690541E-25
ENSMUSG00000001334	3.68661607536683	4.26457287999878E-27	1.66378046340272E-23
ENSMUSG00000084280	-31.7735308396644	1.49600972095487E-26	4.86377693777779E-23
ENSMUSG00000095571	-6.38021218963113	2.83762162199437E-25	7.90764071146345E-22
ENSMUSG00000009092	-3.48160601123074	3.81065953726393E-25	9.29181694917593E-22
ENSMUSG00000024675	-3.12278491998774	9.43667978824544E-25	2.04534791810337E-21
ENSMUSG00000054626	2.96054475174791	6.86439243389682E-24	1.33903703208025E-20
ENSMUSG00000021115	-1.34675522387414	8.75376957675143E-24	1.55236166485173E-20
ENSMUSG00000029449	1.68847055729188	6.56430081896951E-23	1.06708180063032E-19
ENSMUSG00000048440	-4.9297823331793	1.18083265929262E-22	1.77188482190931E-19
ENSMUSG00000030592	-3.22858524215979	1.96344473869742E-21	2.73577975126933E-18
ENSMUSG00000025492	-4.60526447410909	2.15841235471881E-21	2.80694332023332E-18
ENSMUSG00000021403	3.58827634010297	3.86959733778834E-21	4.71776470426482E-18
ENSMUSG00000015316	2.7723103294599	5.46654933579021E-21	6.27270458195645E-18
ENSMUSG00000030786	-3.88283231668608	1.5313382561201E-20	1.65954529789638E-17
ENSMUSG00000039007	1.53885867977762	2.48376701057077E-20	2.55004437237916E-17
ENSMUSG00000004633	-2.04185052541198	2.84655007433723E-20	2.77638261500482E-17
ENSMUSG00000036206	2.18160578386655	8.38016027744058E-20	7.60435952441501E-17
ENSMUSG00000028555	3.96768120809079	8.57619877670222E-20	7.60435952441501E-17
ENSMUSG00000028405	1.85907300902199	1.17074643817285E-19	9.92945685627729E-17
ENSMUSG00000046908	-4.42582652197763	1.83856730687605E-19	1.49437218563463E-16
ENSMUSG00000032350	2.65025355433287	2.00861739712704E-19	1.56728398263028E-16
ENSMUSG00000058056	2.26703196056475	2.72625766953521E-19	2.04132286995818E-16
ENSMUSG00000091311	3.90405632181296	2.8254327927857E-19	2.04132286995818E-16
ENSMUSG00000076596	-5.14143156981526	3.19027701788907E-19	2.22259763528436E-16
ENSMUSG00000026558	-1.93115999144223	3.93831830782729E-19	2.64913018037196E-16
ENSMUSG00000023249	2.34632787750805	1.54707315112656E-18	9.98074760944389E-16
ENSMUSG00000046223	-3.65355485297137	1.58611357919086E-18	9.98074760944389E-16
ENSMUSG00000041891	-2.54487072053866	1.76743031657319E-18	1.07741447454354E-15
ENSMUSG00000076586	-5.37637279188172	2.2502714870135E-18	1.33018320900522E-15
ENSMUSG00000030793	-3.11299684996252	3.27771065822054E-18	1.88053828852671E-15
ENSMUSG00000041132	1.84910286748209	3.46604524419769E-18	1.89224035615351E-15
ENSMUSG00000075415	1.81285811401338	3.49211323225132E-18	1.89224035615351E-15
ENSMUSG00000089862	1.52613120238558	3.64604641033248E-18	1.92225479260421E-15
ENSMUSG00000066684	-3.68006274573038	5.12984430929972E-18	2.63336507740815E-15
ENSMUSG00000044811	-3.93292967634319	1.69693539119025E-17	8.3044606640684E-15
ENSMUSG00000041538	-1.5101948828911	1.70286782469235E-17	8.3044606640684E-15
ENSMUSG00000040528	-2.35255530695452	3.02640656532305E-17	1.43990519194529E-14
ENSMUSG00000085531	-3.25897122153451	4.71493666046677E-17	2.18986355799346E-14
ENSMUSG00000028894	1.77325368666381	6.99406681998479E-17	3.17286654552194E-14
ENSMUSG00000023186	2.39705452394341	8.05898901261264E-17	3.57287951520534E-14
ENSMUSG00000027935	2.68084896682043	9.89225464729697E-17	4.28818247566271E-14
ENSMUSG00000032575	-2.50573407914426	1.28799031716576E-16	5.46191893846794E-14
ENSMUSG00000030148	-5.46007150893258	1.99367546573294E-16	8.27460155533029E-14
ENSMUSG00000006527	1.69556109250427	2.67636935311974E-16	1.08766535356889E-13
ENSMUSG00000023022	3.15029989641442	3.36479831091915E-16	1.33953307451224E-13
ENSMUSG00000116957	-5.35027538964885	5.21386190746999E-16	2.03413608458034E-13
ENSMUSG00000024339	1.35141488232995	6.45888213514093E-16	2.47045909431753E-13
ENSMUSG00000015981	-3.56710175646976	7.9096556414621E-16	2.96718562688464E-13
ENSMUSG00000043061	1.81312344515522	1.11197618925134E-15	4.0927017969294E-13
ENSMUSG00000024679	-3.72107085392769	1.52365935473612E-15	5.50407833941434E-13
ENSMUSG00000085337	-2.52189679037264	2.30391652220784E-15	8.17136356340151E-13
ENSMUSG00000045827	2.07490430227708	3.52710285371664E-15	1.22862848870447E-12
ENSMUSG00000050014	2.99765923379567	6.49771665498699E-15	2.223701031383E-12
ENSMUSG00000032413	1.82201103882422	7.15051712730871E-15	2.40491616555881E-12
ENSMUSG00000079419	-4.33412404251265	8.15106075315615E-15	2.69496173070876E-12
ENSMUSG00000048120	-1.87222157962916	9.23058504286615E-15	2.98016264188276E-12
