"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"
"ENSMUSG00000000056"	1421.75	1449.72	1397.47	838.34	675.86	193.34	591.71	820.84	1191.77
"ENSMUSG00000000085"	705.79	709.7	881.38	457.99	441.24	311.91	849.83	920.09	986.91
"ENSMUSG00000000125"	0	0.78	0	0	27.03	12.08	22.36	14.64	0
"ENSMUSG00000000127"	3.7	6.22	4.84	32.94	101.38	41.54	27.02	68.34	92.63
"ENSMUSG00000000244"	65.68	86.28	51.19	894.02	833.24	1302.01	533.94	456.39	426.65
"ENSMUSG00000000247"	0	0.78	0	25.1	88.83	14.35	98.77	159.45	125.59
"ENSMUSG00000000253"	0.93	1.55	11.07	31.37	65.66	1.51	37.27	3.25	25.83
"ENSMUSG00000000266"	0.93	3.11	0	29.02	87.86	91.38	0.93	31.73	8.02
"ENSMUSG00000000275"	9725.59	8803.26	6968.69	3331.39	3935.45	3449.89	2168.37	3743.82	3643.89
"ENSMUSG00000000282"	1392.14	1165.22	1052.26	497.98	862.21	610.23	455.67	536.11	466.73
"ENSMUSG00000000290"	21315.08	20052	20247.46	9679.69	8614.35	5390.83	2534.58	3018.16	2945.57
"ENSMUSG00000000303"	5951.54	3995.48	4530.72	6.27	5.79	3.02	13.98	91.11	12.47
"ENSMUSG00000000308"	25.9	48.97	77.48	0	0	0	1.86	2.44	0
"ENSMUSG00000000359"	24.05	7	10.38	291.73	387.17	215.24	23.3	164.33	208.43
"ENSMUSG00000000384"	863.04	858.95	646.16	373.29	293.52	384.41	409.07	234.29	232.48
"ENSMUSG00000000385"	21.28	31.09	80.94	1.57	2.9	1.51	68.02	14.64	0
"ENSMUSG00000000386"	239.58	135.26	220.69	2623.23	2866.62	1993.8	4741.16	8491.53	9427.26
"ENSMUSG00000000409"	88.8	83.95	87.86	716	895.03	770.33	3726.39	2186.74	2333.66
"ENSMUSG00000000416"	0.93	0	2.08	7.06	25.1	0	60.57	40.68	31.17
"ENSMUSG00000000440"	41.63	48.97	41.51	60.39	180.55	112.53	41	13.83	73.93
"ENSMUSG00000000530"	1175.69	1514.24	1661.06	536.41	821.66	471.26	1261.7	731.36	816.78
"ENSMUSG00000000544"	14.8	20.21	26.29	3.14	0.97	0	0	0	0
"ENSMUSG00000000552"	1985.08	2442.37	2247.03	652.48	1007.03	550.56	354.1	683.36	752.65
"ENSMUSG00000000555"	1664.1	1808.85	1953.7	852.45	590.9	501.47	539.53	1962.21	1473.23
"ENSMUSG00000000561"	394.98	378.56	425.47	227.43	205.66	328.52	136.98	198.5	237.82
"ENSMUSG00000000581"	1092.44	1101.48	1131.82	1249.27	1487.86	2159.96	1411.72	892.43	972.65
"ENSMUSG00000000627"	77.7	39.64	51.19	243.11	111.03	138.96	210.59	279.85	141.62
"ENSMUSG00000000682"	5929.34	8482.22	8687.17	10700.75	15560.28	21108.65	15153.44	8512.69	7854.27
"ENSMUSG00000000693"	313.58	282.95	300.94	1263.39	1565.1	460.69	2285.78	2952.27	2959.83
"ENSMUSG00000000731"	17.58	3.11	5.53	632.09	351.45	282.46	1299.9	1438.31	1528.46
"ENSMUSG00000000738"	1933.28	1713.24	1703.95	1365.34	871.86	875.31	1542.18	1047	1261.24
"ENSMUSG00000000751"	2708.44	3386.83	2500.93	2342.48	860.28	1567.86	1079.99	1317.9	932.57
"ENSMUSG00000000766"	12.95	27.21	4.15	0.78	0	2.27	0	0.81	2.67
"ENSMUSG00000000782"	212.75	239.42	372.89	6132.64	6372.42	3418.17	9843.86	18100.03	20312.62
"ENSMUSG00000000817"	21.28	31.87	24.91	90.19	280	154.07	218.98	133.42	99.76
"ENSMUSG00000000823"	613.28	652.96	621.95	277.62	156.41	255.27	241.34	445.81	451.59
"ENSMUSG00000000903"	26.83	38.87	48.43	133.32	109.1	612.49	78.27	80.54	92.63
"ENSMUSG00000000934"	169.28	273.62	257.36	158.41	111.03	49.85	168.66	85.42	73.93
"ENSMUSG00000000942"	14.8	3.89	8.99	0	0	0	0	2.44	12.47
"ENSMUSG00000000957"	167.43	205.22	186.79	930.09	1538.07	1066.38	55.91	216.4	309.97
"ENSMUSG00000001020"	7.4	10.11	6.92	196.06	490.48	511.29	15.84	27.66	27.61
"ENSMUSG00000001021"	0.93	3.11	0	20.39	40.55	28.7	4.66	21.15	3.56
"ENSMUSG00000001025"	370.93	380.89	324.46	1844.5	2951.59	3426.47	366.21	329.48	381.22
"ENSMUSG00000001027"	0	0.78	0	49.41	4.83	24.17	26.09	56.13	105.99
"ENSMUSG00000001029"	70.3	76.18	106.54	610.13	471.17	815.65	469.64	351.44	293.93
"ENSMUSG00000001052"	2113.66	1881.14	2323.13	1064.19	1087.17	810.36	603.83	942.87	1156.14
"ENSMUSG00000001098"	971.26	1038.51	924.96	781.87	577.38	320.97	698.87	1044.56	1269.26
"ENSMUSG00000001119"	373.71	447.74	327.23	36.86	93.66	214.49	98.77	125.28	285.92
"ENSMUSG00000001123"	2998.89	3230.58	2868.28	918.33	1089.1	1604.86	910.4	483.23	487.22
"ENSMUSG00000001138"	522.63	502.16	346.6	258.79	246.21	85.34	173.32	407.57	313.53
"ENSMUSG00000001151"	1349.59	1491.7	1516.47	1019.49	820.69	926.67	708.19	1324.41	797.18
"ENSMUSG00000001175"	28408.08	29254.03	26417.8	89162.48	113774.65	121548.08	202969.56	104894.6	117775.78
"ENSMUSG00000001227"	536.51	415.09	411.63	27.45	0	11.33	0.93	39.05	31.17
"ENSMUSG00000001247"	43.48	48.97	62.26	164.69	181.52	118.57	260.91	113.08	134.5
"ENSMUSG00000001270"	11408.19	13949.19	12508.78	5087.27	5236	3751.98	1165.72	1167.4	1485.7
