"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"	"log2fold"	"p"	"p.adj"	"chromosome"	"start"	"stop"	"gene_name"	"gene_type"	"mean"	"mlog10p"	"sig"
"ENSMUSG00000000056"	1421.75	1449.72	1397.47	838.34	675.86	193.34	591.71	820.84	1191.77	-1.3223561612	0.0007855902	0.0061041964	"11"	121237253	121255856	"Narf"	"protein_coding"	953.422222222222	3.10480394287955	"TRUE"
"ENSMUSG00000000085"	705.79	709.7	881.38	457.99	441.24	311.91	849.83	920.09	986.91	-0.9254045586	3.91614243134676e-08	1.12074731886402e-06	"4"	120405281	120530186	"Scmh1"	"protein_coding"	696.093333333333	7.4071415211531	"FALSE"
"ENSMUSG00000000125"	0	0.78	0	0	27.03	12.08	22.36	14.64	0	5.5181505286	0.0082306985	0.0401114371	"11"	103774150	103817957	"Wnt3"	"protein_coding"	8.54333333333333	2.08456330672903	"TRUE"
"ENSMUSG00000000127"	3.7	6.22	4.84	32.94	101.38	41.54	27.02	68.34	92.63	3.5662289081	2.33873138275999e-05	0.0003184919	"17"	63896018	64139494	"Fer"	"protein_coding"	42.0677777777778	4.63101965663647	"TRUE"
"ENSMUSG00000000244"	65.68	86.28	51.19	894.02	833.24	1302.01	533.94	456.39	426.65	3.8990955885	2.28907560887089e-15	2.36420714989472e-13	"7"	143005046	143019644	"Tspan32"	"protein_coding"	516.6	14.6403398622083	"TRUE"
"ENSMUSG00000000247"	0	0.78	0	25.1	88.83	14.35	98.77	159.45	125.59	7.2282396271	1.42135885984423e-07	3.56844884391458e-06	"2"	38339281	38369733	"Lhx2"	"protein_coding"	56.9855555555556	6.84729625903655	"TRUE"
"ENSMUSG00000000253"	0.93	1.55	11.07	31.37	65.66	1.51	37.27	3.25	25.83	2.8323863579	0.010408655	0.0479201946	"13"	45507444	45546382	"Gmpr"	"protein_coding"	19.8266666666667	1.98260538612988	"TRUE"
"ENSMUSG00000000266"	0.93	3.11	0	29.02	87.86	91.38	0.93	31.73	8.02	5.7045699434	3.01e-07	6.90036868814047e-06	"X"	140664599	140767715	"Mid2"	"protein_coding"	28.1088888888889	6.52143350440616	"TRUE"
"ENSMUSG00000000275"	9725.59	8803.26	6968.69	3331.39	3935.45	3449.89	2168.37	3743.82	3643.89	-1.250498782	0.0016948887	0.0115264528	"11"	88999376	89020293	"Trim25"	"protein_coding"	5085.59444444444	2.77085881578709	"TRUE"
"ENSMUSG00000000282"	1392.14	1165.22	1052.26	497.98	862.21	610.23	455.67	536.11	466.73	-0.8741501858	9.16693165041927e-05	0.0010167448	"11"	74830920	74845725	"Mnt"	"protein_coding"	782.061111111111	4.03777600678196	"FALSE"
"ENSMUSG00000000290"	21315.08	20052	20247.46	9679.69	8614.35	5390.83	2534.58	3018.16	2945.57	-1.3793388613	1.22655522382656e-08	3.97354373209527e-07	"10"	77530252	77565708	"Itgb2"	"protein_coding"	10421.9688888889	7.91131289355362	"TRUE"
"ENSMUSG00000000303"	5951.54	3995.48	4530.72	6.27	5.79	3.02	13.98	91.11	12.47	-9.9106745933	4.20084967938921e-22	1.04336103406068e-19	"8"	106603351	106670246	"Cdh1"	"protein_coding"	1623.37555555556	21.3766628587095	"TRUE"
"ENSMUSG00000000308"	25.9	48.97	77.48	0	0	0	1.86	2.44	0	-8.3794698803	3.05893619729967e-08	9.07803497642434e-07	"2"	121357714	121363737	"Ckmt1"	"protein_coding"	17.4055555555556	7.51442958135127	"TRUE"
"ENSMUSG00000000359"	24.05	7	10.38	291.73	387.17	215.24	23.3	164.33	208.43	4.4427601256	1.1477232814519e-09	4.61367067840676e-08	"2"	152626951	152635198	"Rem1"	"protein_coding"	147.958888888889	8.94016280864956	"TRUE"
"ENSMUSG00000000384"	863.04	858.95	646.16	373.29	293.52	384.41	409.07	234.29	232.48	-1.1698124327	3.79427613972205e-08	1.09035789398101e-06	"11"	6615598	6626067	"Tbrg4"	"protein_coding"	477.245555555556	7.42087106522558	"TRUE"
"ENSMUSG00000000385"	21.28	31.09	80.94	1.57	2.9	1.51	68.02	14.64	0	-4.4928402919	0.0023608804	0.0149393532	"16"	97564684	97611195	"Tmprss2"	"protein_coding"	24.6611111111111	2.62692601331758	"TRUE"
"ENSMUSG00000000386"	239.58	135.26	220.69	2623.23	2866.62	1993.8	4741.16	8491.53	9427.26	3.6517232238	9.46999019092378e-12	5.67736796992077e-10	"16"	97447035	97462907	"Mx1"	"protein_coding"	3415.45888888889	11.0236504708415	"TRUE"
