"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"	"log2fold"	"p"	"p.adj"	"chromosome"	"start"	"stop"	"gene_name"	"gene_type"	"mean"	"mlog10p"	"sig"
"ENSMUSG00000000001"	3638.08	2423.71	3197.59	3347.86	2743.04	1711.35	3232.52	5289.51	6628.66	-0.2470267886	0.7115892323	0.8419202846	"3"	108107280	108146146	"Gnai3"	"protein_coding"	3579.14666666667	0.14777063224083	"FALSE"
"ENSMUSG00000000028"	737.24	863.61	837.79	790.5	401.66	767.31	157.48	386.42	228.91	-0.3153511496	0.5172078297	0.7059951144	"16"	18780447	18811987	"Cdc45"	"protein_coding"	574.546666666667	0.286334909217462	"FALSE"
"ENSMUSG00000000031"	7.4	5.44	8.99	4.71	10.62	12.84	5.59	8.95	14.25	0.362929447	0.6367399223	0.7935460517	"7"	142575529	142578143	"H19"	"lincRNA"	8.75444444444445	0.196037919900484	"FALSE"
"ENSMUSG00000000037"	0.93	4.66	8.3	2.35	0	18.88	0	0	1.78	0.6106219093	0.7150304636	0.8444288782	"X"	161117193	161258213	"Scml2"	"protein_coding"	4.1	0.145675454854106	"FALSE"
"ENSMUSG00000000056"	1421.75	1449.72	1397.47	838.34	675.86	193.34	591.71	820.84	1191.77	-1.3223561612	0.0007855902	0.0061041964	"11"	121237253	121255856	"Narf"	"protein_coding"	953.422222222222	3.10480394287955	"TRUE"
"ENSMUSG00000000058"	259.93	150.02	295.41	62.74	148.69	61.93	79.21	127.72	143.4	-1.3705974805	0.0126721541	0.0555768659	"6"	17281185	17289115	"Cav2"	"protein_coding"	147.672222222222	1.89714955447517	"FALSE"
"ENSMUSG00000000078"	17455	16009.11	17033.27	25263.03	18704.97	20118.55	28987.4	29796.84	28110.78	0.3438199851	0.3149175229	0.5291233213	"13"	5861489	5870393	"Klf6"	"protein_coding"	22386.55	0.501803173320111	"FALSE"
"ENSMUSG00000000085"	705.79	709.7	881.38	457.99	441.24	311.91	849.83	920.09	986.91	-0.9254045586	3.91614243134676e-08	1.12074731886402e-06	"4"	120405281	120530186	"Scmh1"	"protein_coding"	696.093333333333	7.4071415211531	"FALSE"
"ENSMUSG00000000088"	1059.14	1195.53	1010.75	1509.63	1591.17	2786.8	3188.73	1720.6	1682.55	0.8504397503	0.2685878641	0.4798629198	"9"	57521274	57532426	"Cox5a"	"protein_coding"	1749.43333333333	0.570913614427816	"FALSE"
"ENSMUSG00000000093"	4.63	9.33	22.14	3.92	3.86	32.47	5.59	4.88	1.78	0.157355791	0.9109824106	0.9600614945	"11"	85832551	85841948	"Tbx2"	"protein_coding"	9.84444444444444	0.040490008376186	"FALSE"
"ENSMUSG00000000120"	12.03	9.33	8.99	3.14	5.79	1.51	0	1.63	4.45	-1.5559042838	0.1725998876	0.3633287716	"11"	95568818	95587735	"Ngfr"	"protein_coding"	5.20777777777778	0.762959491440715	"FALSE"
"ENSMUSG00000000125"	0	0.78	0	0	27.03	12.08	22.36	14.64	0	5.5181505286	0.0082306985	0.0401114371	"11"	103774150	103817957	"Wnt3"	"protein_coding"	8.54333333333333	2.08456330672903	"TRUE"
"ENSMUSG00000000126"	0.93	0	1.38	0	2.9	1.51	2.8	1.63	0.89	0.9016657033	0.6479357625	0.801534765	"11"	59306928	59333552	"Wnt9a"	"protein_coding"	1.33777777777778	0.188468048719937	"FALSE"
"ENSMUSG00000000127"	3.7	6.22	4.84	32.94	101.38	41.54	27.02	68.34	92.63	3.5662289081	2.33873138275999e-05	0.0003184919	"17"	63896018	64139494	"Fer"	"protein_coding"	42.0677777777778	4.63101965663647	"TRUE"
"ENSMUSG00000000131"	2964.67	2178.08	3019.1	2025.65	1224.28	1052.79	2149.73	2324.23	2547.43	-0.9236254871	0.1774097083	0.370315032	"7"	126101715	126200501	"Xpo6"	"protein_coding"	2165.10666666667	0.751022618180987	"FALSE"
"ENSMUSG00000000134"	2103.48	2209.95	2468.41	1795.09	1493.66	1152.48	2974.4	2403.14	2730.91	-0.6108697885	0.0121417709	0.053804963	"X"	7762560	7775202	"Tfe3"	"protein_coding"	2147.94666666667	1.91571796597835	"FALSE"
"ENSMUSG00000000142"	0	0.78	1.38	8.63	6.76	18.13	48.46	6.51	8.91	3.9007258895	0.0187097747	0.0745924	"11"	108920349	108950783	"Axin2"	"protein_coding"	11.0622222222222	1.72793144217053	"FALSE"
"ENSMUSG00000000148"	475.46	642.07	609.49	619.54	479.86	368.55	371.8	606.07	560.26	-0.2349732161	0.4146775138	0.6225384594	"5"	140705011	140719379	"Brat1"	"protein_coding"	525.9	0.382289513942345	"FALSE"
"ENSMUSG00000000149"	1492.05	1689.14	1562.82	1302.6	1850.9	693.3	1427.57	1618.09	1410.88	-0.3030481794	0.3022567041	0.5149842072	"5"	140758408	140830431	"Gna12"	"protein_coding"	1449.70555555556	0.519624057642223	"FALSE"
